trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.995}",25,0,-94.85468948945325,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.99}",25,0,-131.96409241111806,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.985}",25,0,-116.1426941343693,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.98}",20,0,-99.16123714211109,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.975}",20,0,-71.78178299010168,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.97}",20,7,-91.60221581211047,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.05, 'e': 0.965}",30,4,-126.99589790934645,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 2}",1
8,False,"{'a': 0.05, 'e': 0.96}",20,0,-56.586866997995365,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.955}",25,3,-73.40681890435228,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 0}",1
10,False,"{'a': 0.05, 'e': 0.95}",30,0,-82.32620223419053,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.945}",20,0,-87.36908519014484,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.94}",25,11,-30.155782309568174,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.935}",20,0,-89.14005943286406,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.9299999999999999}",30,0,-119.00628514479422,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.925}",25,3,-113.43438539351574,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.92}",25,0,-153.92471798741235,"{0: 12, 1: 3, 2: 7, 3: 3, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.915}",25,11,-72.22913256093797,"{0: 7, 1: 2, 2: 3, 3: 2, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.91}",25,0,-129.6078897231808,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
