trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900498337491681}",25,0,-55.56703109466683,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9801986733067553}",20,0,-40.72686558091871,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9704455335485082}",20,0,-147.43651942188163,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9607894391523232}",35,0,-223.2687549415282,"{0: 17, 1: 5, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.951229424500714}",20,0,-122.94368667905951,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9417645335842487}",20,0,-82.03768678183471,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9323938199059483}",20,0,-31.934996223839477,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.9231163463866358}",20,0,-177.0021216656447,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.9139311852712282}",30,13,-78.66257119075631,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.05, 'e': 0.9048374180359595}",30,0,-200.32872569785832,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.05, 'e': 0.8958341352965282}",25,0,-110.83100814388067,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.8869204367171575}",20,0,-53.99204690336168,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.8780954309205613}",20,0,-41.98217394066511,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.8693582353988059}",20,16,8.12122247777731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-120.6037279858452,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.8521437889662113}",20,0,-100.8776918348873,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.05, 'e': 0.8436648165963837}",20,0,-51.91395449021167,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.835270211411272}",20,0,-47.90376279179765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.8269591339433623}",25,0,-180.87702404835204,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.05, 'e': 0.8187307530779818}",30,0,-193.6540344890317,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.8105842459701871}",20,0,-58.76232184095951,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.8025187979624785}",25,3,-139.37464645444106,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 2}",1
23,False,"{'a': 0.05, 'e': 0.794533602503334}",20,0,-99.67350726786682,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.05, 'e': 0.7866278610665535}",25,0,-74.52673130566617,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.7788007830714049}",25,0,-154.5789482759599,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
26,False,"{'a': 0.05, 'e': 0.7710515858035663}",20,0,-78.75908619748613,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.05, 'e': 0.7633794943368531}",25,7,-39.3096864986192,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.7557837414557255}",20,0,-121.7724928260713,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
29,False,"{'a': 0.05, 'e': 0.7482635675785653}",20,0,-175.7853065416562,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
30,False,"{'a': 0.05, 'e': 0.7408182206817179}",30,0,-96.08577209680293,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.05, 'e': 0.7334469562242892}",30,0,-119.33820449622513,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.05, 'e': 0.7261490370736909}",25,0,-114.6455964729738,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.05, 'e': 0.7189237334319262}",30,0,-59.69126641021631,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.05, 'e': 0.7117703227626097}",20,0,5.84069468177402,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-35.11285477373542,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.697676326071031}",30,0,-44.09811706089578,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.6907343306373547}",20,0,-34.37797236170892,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.6838614092123558}",30,0,-111.0804124100241,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
39,False,"{'a': 0.05, 'e': 0.6770568744981647}",25,0,-24.40471522422189,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,0,-92.31899707473544,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.05, 'e': 0.6636502501363194}",30,10,-96.64990380254223,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
42,False,"{'a': 0.05, 'e': 0.6570468198150567}",20,0,-65.38742934882504,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.05, 'e': 0.6505090947233165}",25,0,-107.52742449457746,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
