trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.40915098497482,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.9948430648224,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.70670920618258,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.32858951468887,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.78494986338514,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.5127771251512,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.97871722109568,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.1525339924462,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.42476598588974,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.14270794112976,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.84004760847212,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.25595569804061,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.76815226230219,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.9121337707434,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.06161494685969,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.49287472389975,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.80498604605046,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.86950760750302,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.16089004170094,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,7,-35.22501928509099,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.3251018617104,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,8,-77.49775932519377,"{0: 5, 1: 1, 2: 4, 3: 2, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.3114400714367,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.00977891853375,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,6,-76.04736651945532,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.98271142244515,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.05815223892813,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.40343175631983,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.1480156322723,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-301.5442113736394,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 7}",0
